,Artist,Streams (millions),Top Song,Song Streams (millions),Gender
0,Drake,130560.8,One Dance,4146.243189,male
1,Taylor Swift,123042.7,Cruel Summer,3304.553709,female
3,The Weeknd,92140.6,Blinding Lights,5356.250611,male
4,Justin Bieber,72800.7,Love Yourself,3121.882057,male
5,Ariana Grande,65257.0,7 rings,2784.113755,female
6,Travis Scott,63390.9,goosebumps,3099.419681,male
7,Ed Sheeran,63136.6,Shape of You,4849.310915,male
8,Eminem,62966.6,Without Me,3030.418668,male
9,Kanye West,62471.4,Heartless,1950.388393,male
10,Rihanna,57657.5,Umbrella,2184.843691,female
