Entity,Oil
United States,9221.20925
Russia,6266.6058
Saudi Arabia,6184.929
Canada,3222.0910750000003
Iraq,2473.7113
China,2400.199375
Iran,2306.0664
United Arab Emirates,2068.5872
Brazil,1993.898475
Kuwait,1586.725175
Mexico,1142.58655
Norway,1058.957125
Kazakhstan,1010.78919
Nigeria,880.2359375
Qatar,849.6577649999999
Algeria,705.1816925
Angola,663.1658600000001
Libya,652.039705
Oman,572.14373
Argentina,560.46665
Venezuela,476.116105
Colombia,466.25138000000004
United Kingdom,414.2035875
India,385.130225
Azerbaijan,368.4980025
Indonesia,366.96552
Egypt,350.3172475
Ecuador,296.976435
Malaysia,291.65352
Guyana,203.207715
European Union (27),194.31589
Australia,191.9824825
Congo,161.89882
Thailand,142.5447675
Gabon,118.97745624999999
Turkmenistan,108.9057665
Vietnam,105.678561
Chad,76.72123099999999
South Sudan,75.62012874999999
Peru,61.227633499999996
Equatorial Guinea,58.1842165
Brunei,54.87852275
Italy,52.91837125
Trinidad and Tobago,39.73888475
Romania,35.779696
Denmark,35.760189
Sudan,31.682235
Yemen,29.858627
Uzbekistan,23.48794775
Syria,21.78884925
Tunisia,20.43391
