Time,war,oil,Saudi Arabia,Russia,United states,Canada,Iraq
2021-01-04,29,45,3,7,7,68,6
2021-01-05,29,43,3,6,7,66,6
2021-01-06,25,44,2,8,6,68,6
2021-01-07,30,45,3,7,7,76,6
2021-01-08,26,41,3,7,7,66,7
2021-01-09,25,43,3,6,7,74,6
2021-01-10,23,44,3,6,7,68,6
2021-01-11,24,40,3,6,7,74,6
2021-01-12,23,42,3,7,7,72,6
2022-01-01,32,45,3,13,7,68,6
2022-01-02,51,48,3,97,9,67,7
2022-01-03,49,54,5,68,9,66,8
2022-01-04,40,47,4,23,9,65,7
2022-01-05,36,44,4,18,9,58,7
2022-01-06,31,47,4,13,8,70,7
2022-01-07,29,47,4,12,7,64,7
2022-01-08,29,48,4,11,7,61,8
2022-01-09,32,45,4,14,8,65,9
2022-01-10,34,46,4,15,8,62,7
2022-01-11,46,43,14,12,8,76,8
2022-01-12,38,46,5,10,7,69,7
2023-01-01,36,45,5,10,7,64,9
2023-01-02,35,46,5,11,8,62,8
2023-01-03,32,46,5,10,8,61,8
2023-01-04,31,45,5,10,8,61,7
2023-01-05,31,46,4,9,7,62,8
2023-01-06,28,45,4,14,7,75,8
2023-01-07,28,47,4,9,6,68,7
2023-01-08,27,48,5,9,7,66,8
2023-01-09,28,46,5,9,7,63,8
2023-01-10,40,48,5,9,8,61,11
2023-01-11,31,47,5,7,7,64,9
2023-01-12,34,49,4,7,7,63,9
2024-01-01,35,50,5,8,7,65,12
2024-01-02,34,48,4,9,9,60,9
2024-01-03,33,49,5,11,9,60,8
2024-01-04,40,48,5,8,9,58,10
2024-01-05,35,49,4,8,9,59,9
2024-01-06,32,51,4,9,16,75,9
2024-01-07,29,48,4,8,8,78,10
2024-01-08,33,51,4,10,11,65,10
2024-01-09,33,49,4,9,9,58,10
2024-01-10,33,50,4,8,10,59,9
2024-01-11,35,51,4,11,20,68,10
2024-01-12,36,51,4,9,8,68,10
2025-01-01,33,54,4,8,9,68,9
2025-01-02,34,53,4,9,12,72,9
2025-01-03,34,52,5,10,11,73,8
2025-01-04,35,51,4,8,11,72,9
2025-01-05,42,52,4,8,11,61,9
2025-01-06,42,54,5,10,9,63,12
2025-01-07,31,55,5,11,10,65,11
2025-01-08,45,66,11,16,16,87,14
2025-01-09,40,65,11,15,18,78,15
2025-01-10,38,60,9,13,19,79,14
2025-01-11,37,64,10,13,19,88,14
2025-01-12,40,63,10,14,24,78,14
2026-01-01,42,67,8,15,29,82,12
2026-01-02,52,74,9,14,34,96,12
2026-01-03,81,100,9,13,18,74,15
