0,1,2
1,for,1
1,to,3
1,powers,6
1,weve,1
1,if,4
1,style,2
1,know,3
1,baby,2
1,from,1
1,yeah,3
1,pray,3
1,ot,1
1,stick,1
1,take,1
1,fighting,1
1,waist,1
1,but,1
1,we,1
1,up,19
1,gotta,1
1,hold,6
1,make,2
1,bust,1
1,long,5
1,where,15
1,spend,1
1,higher,6
1,reply,1
1,away,2
1,oti,2
1,pretty,1
1,you,6
1,soon,1
1,got,8
1,wanna,2
1,guidance,1
1,fore,6
1,makes,1
1,way,2
1,hand,6
1,piece,1
1,i,22
1,strength,1
1,love,2
1,play,1
1,a,19
1,see,1
1,need,7
1,your,3
1,when,2
1,my,8
1,ill,1
1,that,2
1,had,1
1,go,8
1,text,1
1,oh,3
1,front,1
1,streets,1
1,safe,1
1,wishing,1
1,dont,2
1,tell,1
1,the,2
1,taking,6
1,friends,1
1,do,1
1,one,13
1,by,1
1,theres,1
1,it,10
1,more,6
1,time,13
1,like,2
1,and,11
1,much,1
1,girl,4
1,silence,1
1,lose,1
1,thats,2
1,never,2
1,grips,1
1,all,1
1,cause,4
1,she,1
1,im,2
1,dance,6
1,why,2
1,youre,4
1,down,4
1,back,20
1,as,1
1,ends,1
1,very,4
1,me,10
1,slow,1
1,control,1
1,not,1
1,run,1
1,in,7
1,nobody,1
1,no,1
1,even,1
1,hennessy,6
1,on,7
1,wine,7
2,these,1
2,for,4
2,machine,1
2,well,1
2,head,1
2,hang,1
2,night,3
2,worst,2
2,to,8
2,if,1
2,know,3
2,baby,2
2,from,2
2,yeah,12
2,knife,1
2,be,2
2,coming,2
2,secrets,2
2,said,2
2,but,5
2,quiet,1
2,we,1
2,kill,1
2,thing,2
2,always,2
2,every,2
2,summer,8
2,new,3
2,bought,1
2,say,1
2,up,2
2,so,1
2,breakable,3
2,right,4
2,ive,3
2,whoa,6
2,whatever,2
2,grinning,1
2,their,2
2,bad,2
2,shiny,1
2,home,2
2,you,14
2,glow,1
2,got,3
2,heard,2
2,wanna,2
2,makes,1
2,wasnt,2
2,cut,2
2,trying,2
2,dice,2
2,low,1
2,i,20
2,love,2
2,heaven,3
2,a,11
2,garden,2
2,of,7
2,your,4
2,high,1
2,angels,2
2,my,2
2,that,7
2,vending,1
2,oh,15
2,screw,1
2,fine,2
2,he,1
2,bone,1
2,tell,3
2,dont,2
2,the,26
2,below,1
2,with,4
2,last,1
2,headlights,1
2,rules,3
2,boy,1
2,ooh,6
2,blue,3
2,looks,1
2,it,9
2,toy,1
2,doesnt,1
2,eyes,2
2,gate,2
2,seal,2
2,keep,4
2,worth,2
2,aint,2
2,fate,2
2,more,1
2,summers,1
2,price,1
2,like,3
2,fever,1
2,and,11
2,dream,1
2,just,6
2,bar,2
2,shape,3
2,drunk,2
2,killing,1
2,what,4
2,its,20
2,times,1
2,thats,3
2,want,5
2,cool,3
2,roll,4
2,body,3
2,scream,2
2,caught,1
2,snuck,2
2,em,3
2,car,2
2,through,2
2,ever,2
2,im,7
2,dying,1
2,bleed,1
2,cried,2
2,youre,4
2,were,1
2,back,2
2,true,2
2,out,1
2,feeling,3
2,waiting,3
2,devils,2
2,cruel,6
2,me,3
2,slow,1
2,window,1
2,devil,1
2,not,2
2,in,10
2,youll,1
2,no,3
3,for,1
3,night,2
3,how,1
3,phone,2
3,to,6
3,know,2
3,call,1
3,baby,2
3,yeah,1
3,have,1
3,said,6
3,look,1
3,own,1
3,judge,2
3,overdrive,1
3,enough,1
3,this,3
3,hey,9
3,up,1
3,say,2
3,so,1
3,ive,2
3,long,1
3,hit,1
3,empty,2
3,can,3
3,trust,2
3,you,6
3,touch,5
3,withdrawals,1
3,citys,2
3,too,1
3,sun,1
3,i,22
3,love,1
3,turn,1
3,been,2
3,feel,4
3,maybe,2
3,a,1
3,see,3
3,of,1
3,your,4
3,when,4
3,my,1
3,go,1
3,oh,7
3,dont,1
3,drowning,2
3,sin,1
3,the,14
3,do,1
3,with,1
3,one,2
3,by,4
3,ooh,7
3,gone,2
3,it,2
3,lights,4
3,show,1
3,sleep,4
3,running,1
3,calling,1
3,time,2
3,going,1
3,like,2
3,and,3
3,much,1
3,just,2
3,cold,2
3,sky,1
3,never,2
3,cause,1
3,road,1
3,around,3
3,tryna,1
3,through,1
3,could,1
3,im,11
3,blinded,4
3,youre,4
3,let,3
3,until,4
3,ones,2
3,back,2
3,out,1
3,light,1
3,me,4
3,cant,6
3,clearly,2
3,in,3
3,will,1
3,no,6
3,even,1
3,on,4
4,parade,1
4,for,3
4,well,1
4,phone,2
4,broke,1
4,to,8
4,if,8
4,tried,1
4,know,4
4,baby,6
4,from,1
4,cryin,1
4,hated,1
4,be,4
4,look,4
4,own,3
4,but,5
4,get,1
4,whats,2
4,using,1
4,every,1
4,forget,1
4,up,4
4,so,3
4,movin,2
4,goodness,1
4,hold,2
4,ive,2
4,holdin,5
4,make,1
4,where,1
4,everyone,2
4,hit,2
4,anyone,2
4,was,6
4,fool,1
4,walls,1
4,clubs,1
4,break,1
4,you,40
4,song,2
4,wanna,4
4,job,2
4,somethin,6
4,way,4
4,low,1
4,i,25
4,came,1
4,love,9
4,been,2
4,feel,2
4,still,8
4,maybe,2
4,yourself,8
4,a,3
4,small,1
4,see,2
4,admit,2
4,ill,2
4,my,15
4,when,1
4,that,16
4,go,8
4,oh,5
4,think,9
4,dont,6
4,made,1
4,the,8
4,friends,1
4,with,1
4,only,1
4,aint,1
4,opinion,1
4,mama,2
4,time,1
4,going,2
4,vulnerable,1
4,like,8
4,and,29
4,girl,1
4,much,4
4,wrong,3
4,nothin,1
4,heart,1
4,times,2
4,want,2
4,never,3
4,rained,1
4,now,3
4,should,12
4,caught,2
4,told,2
4,problem,1
4,better,2
4,all,4
4,cause,6
4,fell,1
4,sake,1
4,thinking,2
4,she,2
4,them,1
4,felt,1
4,im,8
4,let,1
4,down,1
4,back,2
4,likes,2
4,write,2
4,sleeping,2
4,didnt,6
4,me,4
4,not,1
4,in,4
4,name,1
4,at,1
4,care,2
4,on,13
5,who,2
5,for,4
5,shit,1
5,loop,1
5,spoil,1
5,phone,1
5,atm,1
5,to,5
5,whoever,1
5,if,2
5,hair,4
5,know,1
5,baby,1
5,watchin,1
5,yeah,16
5,some,1
5,have,2
5,sing,1
5,solve,2
5,from,1
5,be,6
5,big,1
5,budget,1
5,checks,1
5,said,1
5,shine,1
5,gimme,1
5,bottles,1
5,look,2
5,favorite,1
5,own,1
5,strings,1
5,but,3
5,get,1
5,beamin,1
5,we,1
5,getting,1
5,diamonds,2
5,enough,2
5,crib,1
5,new,1
5,up,2
5,bought,6
5,sad,1
5,say,2
5,trouble,1
5,make,2
5,addiction,1
5,wrist,1
5,lashes,1
5,tied,1
5,bad,1
5,rather,2
5,youve,2
5,seen,2
5,settin,1
5,card,2
5,you,5
5,got,19
5,things,1
5,tone,1
5,breakfast,1
5,neck,2
5,machines,1
5,gee,4
5,problems,1
5,way,2
5,i,55
5,gloss,1
5,flossy,1
5,turn,1
5,gleamin,2
5,savage,1
5,redbottoms,1
5,wearin,1
5,been,1
5,no,2
5,a,4
5,see,6
5,deposits,1
5,yep,3
5,of,4
5,number,1
5,your,1
5,racks,1
5,when,3
5,my,20
5,numbers,1
5,had,1
5,go,1
5,loot,1
5,oh,3
5,bitches,1
5,think,1
5,dont,1
5,the,11
5,booth,1
5,friends,1
5,retail,1
5,with,3
5,one,2
5,business,1
5,riches,1
5,they,2
5,which,1
5,would,1
5,it,54
5,thought,1
5,set,1
5,aint,4
5,thanks,4
5,his,1
5,skin,1
5,tiffanys,1
5,price,1
5,like,14
5,money,4
5,shoot,2
5,itd,1
5,and,4
5,receipts,1
5,just,6
5,matching,1
5,then,2
5,wrong,1
5,calls,1
5,nothin,1
5,mind,1
5,what,2
5,same,1
