Time,war,oil,Saudi Arabia,Russia,United states,Canada,Iraq
01/04/2021,29,45,3,7,7,68,6
01/05/2021,29,43,3,6,7,66,6
01/06/2021,25,44,2,8,6,68,6
01/07/2021,30,45,3,7,7,76,6
01/08/2021,26,41,3,7,7,66,7
01/09/2021,25,43,3,6,7,74,6
01/10/2021,23,44,3,6,7,68,6
01/11/2021,24,40,3,6,7,74,6
01/12/2021,23,42,3,7,7,72,6
01/01/2022,32,45,3,13,7,68,6
01/02/2022,51,48,3,97,9,67,7
01/03/2022,49,54,5,68,9,66,8
01/04/2022,40,47,4,23,9,65,7
01/05/2022,36,44,4,18,9,58,7
01/06/2022,31,47,4,13,8,70,7
01/07/2022,29,47,4,12,7,64,7
01/08/2022,29,48,4,11,7,61,8
01/09/2022,32,45,4,14,8,65,9
01/10/2022,34,46,4,15,8,62,7
01/11/2022,46,43,14,12,8,76,8
01/12/2022,38,46,5,10,7,69,7
01/01/2023,36,45,5,10,7,64,9
01/02/2023,35,46,5,11,8,62,8
01/03/2023,32,46,5,10,8,61,8
01/04/2023,31,45,5,10,8,61,7
01/05/2023,31,46,4,9,7,62,8
01/06/2023,28,45,4,14,7,75,8
01/07/2023,28,47,4,9,6,68,7
01/08/2023,27,48,5,9,7,66,8
01/09/2023,28,46,5,9,7,63,8
01/10/2023,40,48,5,9,8,61,11
01/11/2023,31,47,5,7,7,64,9
01/12/2023,34,49,4,7,7,63,9
01/01/2024,35,50,5,8,7,65,12
01/02/2024,34,48,4,9,9,60,9
01/03/2024,33,49,5,11,9,60,8
01/04/2024,40,48,5,8,9,58,10
01/05/2024,35,49,4,8,9,59,9
01/06/2024,32,51,4,9,16,75,9
01/07/2024,29,48,4,8,8,78,10
01/08/2024,33,51,4,10,11,65,10
01/09/2024,33,49,4,9,9,58,10
01/10/2024,33,50,4,8,10,59,9
01/11/2024,35,51,4,11,20,68,10
01/12/2024,36,51,4,9,8,68,10
01/01/2025,33,54,4,8,9,68,9
01/02/2025,34,53,4,9,12,72,9
01/03/2025,34,52,5,10,11,73,8
01/04/2025,35,51,4,8,11,72,9
01/05/2025,42,52,4,8,11,61,9
01/06/2025,42,54,5,10,9,63,12
01/07/2025,31,55,5,11,10,65,11
01/08/2025,45,66,11,16,16,87,14
01/09/2025,40,65,11,15,18,78,15
01/10/2025,38,60,9,13,19,79,14
01/11/2025,37,64,10,13,19,88,14
01/12/2025,40,63,10,14,24,78,14
01/01/2026,42,67,8,15,29,82,12
01/02/2026,52,74,9,14,34,96,12
01/03/2026,81,100,9,13,18,74,15
